# The Federal Reserve Bank of New York's published ACM (Adrian-Crump-Moench) 10-year
# decomposition: fitted yield (ACMY10), risk-neutral yield (ACMRNY10), and term premium
# (ACMTP10), annualized percent, quarterly (end-of-quarter), 1961-Q2 to 2014-Q1.
# Source: Adrian, T., Crump, R. K., & Moench, E. (2013), "Pricing the Term Structure with
# Linear Regressions", Journal of Financial Economics 110(1), 110-138; series published at
# https://www.newyorkfed.org/research/data_indicators/term-premia-tabs (public data,
# redistributed with attribution). Vendored via the Brookings Institution mirror
# https://github.com/BrookingsInstitution/Treasury-Issuance-Model (data/ACM.csv, a 2021
# vintage of the published series). Retrieved 2026-08-19.
# Used as a LEVEL/SHAPE comparison target only (vintage + estimation-sample + data-input
# caveats), never as a bit-exact golden: the published series is re-estimated on the full
# 1961-present sample with the NY Fed's own curve inputs (FFR-spliced short rate).
DATE,ACMY10,ACMRNY10,ACMTP10
1961-06-30,3.865283849064336,3.451246590017504,0.414037259046832
1961-09-30,3.901777806975711,3.4445738093303517,0.4572039976453594
1961-12-31,3.841973281878138,3.729711185031528,0.1122620968466101
1962-03-31,3.857531063974682,3.3303919073586368,0.527139156616045
1962-06-30,3.9594098868614944,3.5000020869020565,0.4594077999594379
1962-09-30,3.984333625848531,3.315577421855053,0.6687562039934782
1962-12-31,3.883191608631559,3.2765413929642584,0.6066502156673002
1963-03-31,3.9869984835094,3.3709747538332056,0.6160237296761943
1963-06-30,3.987455206423496,3.503810561274113,0.4836446451493827
1963-09-30,4.049955413051321,3.665587078943167,0.3843683341081538
1963-12-31,4.073148803833921,3.832034353700065,0.241114450133856
1964-03-31,4.21688963631344,3.8148700987996618,0.4020195375137785
1964-06-30,4.07562948118527,3.7502758729171206,0.3253536082681489
1964-09-30,4.105533097872389,3.806366399910746,0.2991666979616427
1964-12-31,4.124121248262705,3.921015628801941,0.2031056194607647
1965-03-31,4.174866718283988,3.910220177954542,0.2646465403294455
1965-06-30,4.1488599907156125,3.900530766653567,0.2483292240620453
1965-09-30,4.373370111467441,3.99465355825506,0.3787165532123815
1965-12-31,4.770162455189233,4.42488036985776,0.3452820853314726
1966-03-31,4.793661921723466,4.343918876831991,0.4497430448914752
1966-06-30,5.047733385013613,4.532136444382704,0.5155969406309087
1966-09-30,5.28130230040766,4.781055159542436,0.5002471408652243
1966-12-31,4.719332839676438,4.439721115069715,0.2796117246067231
1967-03-31,4.408475234750167,4.066240026193045,0.3422352085571223
1967-06-30,5.228197525787868,4.416490543790976,0.8117069819968918
1967-09-30,5.287433816272218,4.632523721648554,0.6549100946236637
1967-12-31,5.731592529536902,4.956338002052989,0.7752545274839138
1968-03-31,5.733951918570305,4.797960869570856,0.9359910489994494
1968-06-30,5.959907090652696,4.64255966966491,1.317347420987787
1968-09-30,5.489839220627633,4.713696145539696,0.776143075087937
1968-12-31,6.159791418806502,5.333357332869529,0.826434085936973
1969-03-31,6.289892925712022,5.191491704659877,1.0984012210521443
